,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA21_1: Population, 2021",X,Y,Transit Time,Car Time,Bike Time
348,59170456,DA,59170456,0.2603,676,284,273,676,-123.460817,48.574442,89.86666666666666,29.25,74.38333333333334
349,59170457,DA,59170457,0.1499,392,177,162,392,-123.462892,48.578773,89.46666666666667,28.25,80.1
350,59170458,DA,59170458,2.0887,712,251,237,712,-123.459667,48.583131,104.1,28.5,77.83333333333333
351,59170463,DA,59170463,3.5692,595,235,228,595,-123.434799,48.542239,745.8833333333333,22.816666666666666,57.21666666666667
352,59170464,DA,59170464,4.0285,425,181,172,425,-123.408058,48.544086,80.75,21.783333333333335,51.3
353,59170466,DA,59170466,2.6923,517,208,201,517,-123.424013,48.521136,744.0833333333334,19.633333333333333,47.266666666666666
354,59170468,DA,59170468,0.2938,632,288,283,632,-123.390991,48.499517,38.36666666666667,15.983333333333333,36.65
355,59170469,DA,59170469,2.6478,545,224,218,545,-123.434339,48.510526,143.98333333333332,21.483333333333334,51.083333333333336
356,59170470,DA,59170470,8.408,730,288,273,730,-123.433012,48.489108,61.43333333333333,21.45,48.2
357,59170471,DA,59170471,10.8568,579,228,224,579,-123.453141,48.52026,766.5166666666667,24.766666666666666,58.45
358,59170472,DA,59170472,11.0259,4739,2054,1918,4739,-123.522272,48.470444,98.73333333333333,31.766666666666666,71.28333333333333
359,59170473,DA,59170473,0.0663,0,0,0,0,-123.546457,48.485924,135.71666666666667,30.766666666666666,93.26666666666667
360,59170475,DA,59170475,0.2707,518,234,230,518,-123.556938,48.457002,102.63333333333334,30.3,80.01666666666667
361,59170476,DA,59170476,0.2065,573,205,196,573,-123.549791,48.456976,99.11666666666666,28.883333333333333,78.0
362,59170478,DA,59170478,9.7516,2425,934,888,2425,-123.541746,48.427266,74.3,34.333333333333336,74.91666666666667
363,59170479,DA,59170479,0.5478,412,161,153,412,-123.533218,48.435274,73.11666666666666,32.6,72.93333333333334
364,59170480,DA,59170480,0.3957,1563,605,581,1563,-123.532243,48.428338,76.6,33.0,72.56666666666666
